gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
womens,3/12/2023,#N/A,#N/A,0.736927743,0.184788555,0.082140958,0.021857949,0.006411176,0.000646458,1,1,94,#N/A,#N/A,#NAME?,Portland 4,#N/A,48,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.263072257,0.032244038,0.006494679,0.000757304,0.000125515,6.73E-06,1,1,95,#N/A,#N/A,#NAME?,Portland 4,#N/A,50,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.982701753,0.781069536,0.54186201,0.252702921,0.145033463,0.034789641,1,1,96,#N/A,#N/A,#NAME?,Portland 4,#N/A,52,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.017298247,0.001897871,6.93E-05,1.57E-06,5.23E-08,5.43E-10,1,1,97,#N/A,#N/A,#NAME?,Portland 4,#N/A,54,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.705838288,0.165732406,0.067701145,0.023152602,0.007868753,0.000946701,1,1,98,#N/A,#N/A,#NAME?,Portland 4,#N/A,56,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.294161712,0.03722146,0.008704528,0.001713091,0.000358622,2.48E-05,1,1,99,#N/A,#N/A,#NAME?,Portland 4,#N/A,58,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.987925204,0.795992604,0.292956688,0.089581209,0.035289021,0.005057995,1,1,100,#N/A,#N/A,#NAME?,Portland 4,#N/A,60,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.012074796,0.001053529,7.07E-05,4.16E-06,2.11E-07,3.34E-09,1,1,101,#N/A,#N/A,#NAME?,Portland 4,#N/A,62,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.999540833,0.946333741,0.72306301,0.524716834,0.123623371,0.074848768,1,1,102,#N/A,#N/A,#NAME?,Albany 2,#N/A,64,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.000345573,1.13E-05,1.75E-07,3.63E-09,2.00E-11,1.00E-12,0,1,103,#N/A,#N/A,#NAME?,Albany 2,#N/A,66,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.000345573,1.13E-05,1.75E-07,3.63E-09,2.00E-11,1.00E-12,0,1,104,#N/A,#N/A,#NAME?,Albany 2,#N/A,67,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.543772833,0.031235505,0.010379991,0.003418807,0.000336447,0.000116473,1,1,105,#N/A,#N/A,#NAME?,Albany 2,#N/A,68,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.456227167,0.022417091,0.007844498,0.002710818,0.000150969,3.39E-05,1,1,106,#N/A,#N/A,#NAME?,Albany 2,#N/A,70,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.839427212,0.21657876,0.046037484,0.019832658,0.002560445,0.001068779,1,1,107,#N/A,#N/A,#NAME?,Albany 2,#N/A,72,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.160572788,0.01271667,0.000847864,0.000157616,6.89E-06,1.28E-06,1,1,108,#N/A,#N/A,#NAME?,Albany 2,#N/A,74,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.977640973,0.767681074,0.211734833,0.107845265,0.020641104,0.011105753,1,1,109,#N/A,#N/A,#NAME?,Albany 2,#N/A,76,#N/A,#NAME?,#N/A,#NAME?
womens,3/12/2023,#N/A,#N/A,0.022359027,0.003023496,9.21E-05,9.22E-06,2.08E-07,2.27E-08,1,1,110,#N/A,#N/A,#NAME?,Albany 2,#N/A,78,#N/A,#NAME?,#N/A,#NAME?
